"","Team","Points","Ratings"
"1","
                            Team
                            T
                        ","
                            Points
                            P
                        ","
                            Rating
                            R
                        "
"2","
                                    
                                    England
                                    ENG
                                ","11,133","259"
"3","
                                    
                                    New Zealand
                                    NZ
                                ","13,534","255"
"4","
                                    
                                    Australia
                                    AUS
                                ","8,584","252"
"5","
                                    
                                    Pakistan
                                    PAK
                                ","13,325","251"
"6","
                                    
                                    South Africa
                                    SA
                                ","8,679","248"
"7","
                                    
                                    West Indies
                                    WI
                                ","9,463","243"
"8","
                                    
                                    Sri Lanka
                                    SL
                                ","8,940","235"
"9","
                                    
                                    Bangladesh
                                    BAN
                                ","9,943","226"
"10","
                                    
                                    Afghanistan
                                    AFG
                                ","6,852","221"
"11","
                                    
                                    Zimbabwe
                                    ZIM
                                ","7,990","195"
"12","
                                    
                                    Namibia
                                    NAM
                                ","4,261","194"
"13","
                                    
                                    Ireland
                                    IRE
                                ","8,487","193"
"14","
                                    
                                    Scotland
                                    SCO
                                ","3,412","190"
"15","
                                    
                                    Nepal
                                    NEP
                                ","4,377","182"
"16","
                                    
                                    Netherlands
                                    NED
                                ","3,445","181"
"17","
                                    
                                    UAE
                                    UAE
                                ","5,721","173"
"18","
                                    
                                    Oman
                                    OMA
                                ","3,054","145"
"19","
                                    
                                    Papua New Guinea
                                    PNG
                                ","3,173","144"
"20","
                                    
                                    Canada
                                    CAN
                                ","2,528","140"
"21","
                                    
                                    Hong Kong
                                    HK
                                ","3,617","134"
"22","
                                    
                                    United States
                                    USA
                                ","1,183","131"
"23","
                                    
                                    Uganda
                                    UGA
                                ","7,043","130"
"24","
                                    
                                    Jersey
                                    JSY
                                ","2,427","128"
"25","
                                    
                                    Malaysia
                                    MAS
                                ","4,997","125"
"26","
                                    
                                    Kuwait
                                    KUW
                                ","3,198","118"
"27","
                                    
                                    Bahrain
                                    BRN
                                ","3,805","112"
"28","
                                    
                                    Qatar
                                    QAT
                                ","1,964","109"
"29","
                                    
                                    Bermuda
                                    BRM
                                ","1,494","107"
"30","
                                    
                                    Kenya
                                    KEN
                                ","3,137","105"
"31","
                                    
                                    Italy
                                    ITA
                                ","1,712","101"
"32","
                                    
                                    Tanzania
                                    TAN
                                ","4,286","100"
"33","
                                    
                                    Saudi Arabia
                                    SDA
                                ","1,992","100"
"34","
                                    
                                    Spain
                                    ESP
                                ","1,649","92"
"35","
                                    
                                    Germany
                                    GER
                                ","3,022","92"
"36","
                                    
                                    Singapore
                                    SIN
                                ","2,140","79"
"37","
                                    
                                    Guernsey
                                    GSY
                                ","1,212","76"
"38","
                                    
                                    Nigeria
                                    NGR
                                ","1,860","74"
"39","
                                    
                                    Portugal
                                    POR
                                ","1,167","73"
"40","
                                    
                                    Cayman Islands
                                    CAY
                                ","790","72"
"41","
                                    
                                    Denmark
                                    DEN
                                ","1,622","71"
"42","
                                    
                                    Belgium
                                    BEL
                                ","1,237","69"
